LineID,SalesID,ItemNo,Quantity,LinePrice,ProfitMargin,Tax
SL00001,S0001,P083,9,1186.92,14.35,10.02
SL00002,S0001,P076,2,317.3,14.37,5.37
SL00003,S0001,P181,2,397.68,25.98,13.45
SL00004,S0001,P138,3,351.45,8.44,8.73
SL00005,S0001,P162,8,416.8,22.4,6.8
SL00006,S0001,P140,8,1262.24,16.22,5.07
SL00007,S0001,P173,2,390.24,5.48,7.8
SL00008,S0001,P171,3,159.66,18.72,14.45
SL00009,S0002,P113,7,1069.88,7.78,8.75
SL00010,S0002,P021,5,727.3,8.05,8.1
SL00011,S0002,P075,10,1774.7,16.43,6.44
SL00012,S0002,P042,8,722.96,19.92,5.21
SL00013,S0002,P155,9,665.28,19.38,14.34
SL00014,S0002,P123,5,765.8,15.73,12.99
SL00015,S0002,P011,4,778.64,19.27,7.44
SL00016,S0002,P083,2,263.76,18.09,9.69
SL00017,S0002,P144,9,264.24,18.6,15.22
SL00018,S0003,P058,9,1135.98,5.51,16.35
SL00019,S0003,P014,1,123.8,20.89,17.75
SL00020,S0003,P022,5,466.2,23.68,9.64
SL00021,S0003,P094,2,92.9,13.62,14.53
SL00022,S0003,P189,2,175.24,24.29,14.56
SL00023,S0003,P056,6,1123.92,8.34,9.58
SL00024,S0003,P146,6,667.32,25.34,7.28
SL00025,S0003,P022,8,745.92,29.52,11.22
SL00026,S0003,P179,3,358.89,25.29,5.82
SL00027,S0004,P058,1,126.22,12.34,5.57
SL00028,S0004,P028,4,202.8,27.14,9.1
SL00029,S0004,P010,5,463.05,17.88,17.86
SL00030,S0004,P131,9,867.51,16.83,5.48
SL00031,S0004,P154,4,710.04,12.15,16.21
SL00032,S0004,P095,1,126.95,26.64,9.32
SL00033,S0004,P036,2,352.3,24.98,10.68
SL00034,S0004,P078,7,578.76,23.58,16.63
SL00035,S0005,P010,6,555.66,29.34,11.45
SL00036,S0005,P156,8,821.04,14.18,15.36
SL00037,S0005,P006,5,616.6,25.03,14.45
SL00038,S0005,P169,2,295.34,15.77,17.94
SL00039,S0005,P031,3,271.44,18.64,9.18
SL00040,S0005,P112,2,302.58,13.2,8.84
SL00041,S0005,P090,8,633.6,20.07,10.54
SL00042,S0005,P020,8,1545.84,13.79,5.55
SL00043,S0006,P089,10,1446.7,29.95,8.57
SL00044,S0006,P074,1,185.9,6.88,13.29
SL00045,S0006,P143,6,735.0,17.83,14.75
SL00046,S0006,P137,3,165.96,28.82,6.86
SL00047,S0006,P044,10,1200.4,21.95,10.7
SL00048,S0006,P013,3,117.12,6.68,15.12
SL00049,S0006,P145,6,967.68,14.05,17.34
SL00050,S0007,P162,10,521.0,8.84,10.85
SL00051,S0007,P064,6,346.26,14.3,14.92
SL00052,S0007,P132,10,1528.8,8.44,9.77
SL00053,S0007,P025,6,68.22,21.24,8.24
SL00054,S0007,P073,2,154.4,5.65,7.42
SL00055,S0008,P160,7,988.54,27.84,6.53
SL00056,S0008,P144,5,146.8,22.6,7.79
SL00057,S0008,P073,10,772.0,12.14,16.91
SL00058,S0008,P190,8,522.72,10.0,6.76
SL00059,S0008,P008,2,278.5,16.3,16.68
SL00060,S0008,P104,8,1171.92,29.93,15.54
